"HMM"	"PS"
"XP_032405288.1"	89.2	2573
"XP_032406365.1"	0	3290
"XP_032406427.1"	0	3140
"XP_032406812.1"	0	2948
"XP_032407846.1"	0	3176
"XP_032408088.1"	98.9	2220
"XP_032408302.1"	39.7	2047
"XP_032408366.1"	0	2807
"XP_032410078.1"	0	3355
"XP_032410779.1"	0	3478
"XP_032411366.1"	0	2183
"XP_032411426.1"	0	2789
"XP_032412164.1"	0	3234
"XP_032412627.1"	38.3	1918
"XP_032413354.1"	36.2	1435
"XP_032414254.1"	0	3240
"XP_032414725.1"	0	3353
"XP_032415222.1"	96.5	2253
"XP_032416704.1"	0	2796
"XP_032416846.1"	0	2686
"XP_032416847.1"	0	2721
"XP_032417565.1"	0	2561
"XP_032418755.1"	94.1	1843
"XP_032420605.1"	0	3092
"XP_032420798.1"	0	3447
"XP_032421378.1"	0	2001
"XP_032424940.1"	99.6	2725
"XP_032424988.1"	0	2619
"XP_032425987.1"	0	3019
"XP_032426029.1"	0	3716
"XP_032426811.1"	0	2920
"XP_032427349.1"	12.4	0
"XP_032427558.1"	45.7	2110
"XP_032428955.1"	59.7	2137
"XP_032430389.1"	276.7	1942
"XP_032430397.1"	0	3203
"XP_032432774.1"	0	3539
"XP_032433087.1"	70.1	2045
"XP_032433289.1"	0	2347
"XP_032433451.1"	0	3073
"XP_032434128.1"	94.7	2686
"XP_032434418.1"	0	3478
"XP_032434573.1"	0	3070
"XP_032434798.1"	95.4	2702
"XP_032435119.1"	43.5	2264
"XP_032435658.1"	0	2536
"XP_032435686.1"	0	3471
"XP_032435809.1"	0	2660
"XP_032435918.1"	0	3595
"XP_032435929.1"	0	3318
"XP_032436446.1"	0	2240
"XP_032437125.1"	0	3504
"XP_032437226.1"	102.7	0
"XP_032437694.1"	102.5	2630
"XP_032440394.1"	0	2615
"XP_032441613.1"	106.4	2337
"XP_032442679.1"	0	1731
"XP_032443351.1"	0	2993
"XP_032443557.1"	0	3111
"XP_032444938.1"	94.2	2222
"XP_032444988.1"	0	2413
"XP_033181789.1"	100.8	2443
"XP_033182624.1"	0	2907
"XP_033466401.1"	293.5	1924
"XP_033468708.1"	37.9	2064
"XP_033470135.1"	95	2212
"XP_033471243.1"	0	2355
"XP_033471872.1"	0	3248
"XP_033474403.1"	0	3082
"XP_033474513.1"	0	2607
"XP_033474641.1"	44.6	2216
"XP_033475012.1"	97	2716
"XP_033475362.1"	0	3554
"XP_033475442.1"	96	2635
"XP_033475607.1"	0	3450
"XP_033476265.1"	0	3033
"XP_033476981.1"	59.9	2137
"XP_033478774.1"	0	2578
"XP_033480167.1"	90.4	1697
"XP_033482118.1"	0	3082
"XP_033482398.1"	0	3031
"XP_033482468.1"	95.8	2476
"XP_033483701.1"	0	1935
"XP_033484735.1"	0	3379
"XP_033485284.1"	0	2711
"XP_033485518.1"	0	3203
"XP_033487476.1"	67.3	1436
"XP_033487634.1"	76.1	2030
"XP_033487988.1"	0	3502
"XP_033488322.1"	0	2763
"XP_033489124.1"	0	3045
"XP_033489774.1"	0	2377
"XP_033490155.1"	0	2324
"XP_033491242.1"	152.9	2045
"XP_033491403.1"	0	2510
"XP_033491469.1"	72	1960
"XP_033492175.1"	0	3587
"XP_033492227.1"	102.4	2599
"XP_033492480.1"	0	3274
"XP_033493043.1"	0	2464
"XP_033493525.1"	0	3171
"XP_033493777.1"	0	1950
"XP_033493985.1"	0	3576
"XP_033494057.1"	0	3013
"XP_033494707.1"	0	3176
"XP_033495226.1"	103.5	2484
"XP_033495718.1"	99.2	2465
"XP_033495998.1"	36.2	2060
"XP_033496282.1"	0	3216
"XP_033496844.1"	0	3355
"XP_033497280.1"	0	3420
"XP_033497535.1"	0	3274
"XP_033497934.1"	44.8	2114
"XP_033498611.1"	0	2090
"XP_033498962.1"	0	3769
"XP_033500131.1"	0	2915
"XP_033500743.1"	0	1858
"XP_033501033.1"	0	3036
"XP_033502187.1"	0	2874
"XP_033502837.1"	0	3730
"XP_033503250.1"	98.3	2741
"XP_033503586.1"	0	2440
"XP_033504197.1"	95.5	2286
"XP_033504343.1"	0	2695
"XP_033506766.1"	0	1734
"XP_033821344.2"	10.7	0
"XP_033821648.1"	56.2	1908
"XP_033821961.1"	90	2714
"XP_033822542.1"	0	2748
"XP_033824393.1"	149.3	2022
"XP_033824785.1"	0	3149
"XP_033825841.1"	0	3312
"XP_033826641.1"	0	1860
"XP_033827623.1"	75	1711
"XP_033827952.1"	96.7	2789
"XP_033828023.1"	0	3090
"XP_033828344.1"	97.7	2714
"XP_033828638.1"	0	3431
"XP_033828744.1"	0	2670
"XP_033828808.1"	42.1	2179
"XP_033828868.1"	0	3372
"XP_033830254.1"	0	2981
"XP_033831263.1"	0	3587
"XP_033831688.1"	0	3262
"XP_033831773.1"	96.6	2469
"XP_033832626.1"	63.3	1768
"XP_033832714.1"	71	2038
"XP_033833904.1"	71.4	1921
"XP_033834072.2"	0	3772
"XP_033834673.1"	0	1978
"XP_033835536.1"	0	3268
"XP_033836500.1"	0	3355
"XP_033837149.1"	39.3	2000
"XP_033837631.1"	101.8	2349
"XP_033837913.1"	11.8	1789
"XP_033840534.1"	0	2980
"XP_033841786.1"	0	3176
"XP_033842206.1"	102.5	2373
"XP_033844416.1"	0	1964
"XP_033845260.1"	0	3019
"XP_033845273.1"	0	3091
"XP_033845680.1"	0	2262
"XP_033846092.1"	91.5	2190
"XP_033846214.1"	0	2901
"XP_033846246.1"	0	2367
"XP_033846646.1"	0	3157
"XP_033847294.2"	91.5	2232
"XP_033931125.1"	96.9	2233
"XP_033931249.1"	98.4	2424
"XP_033931310.1"	0	2841
"XP_033931435.1"	0	2523
"XP_033931506.1"	0	2904
"XP_033932760.1"	100.2	2435
"XP_033933662.1"	0	2542
"XP_033933855.1"	0	2543
"XP_033934593.1"	0	2144
"XP_033934722.1"	0	2474
"XP_033934765.1"	10.1	2886
"XP_033934956.1"	0	1962
"XP_033934957.1"	0	1962
"XP_033935443.1"	0	3215
"XP_033935637.1"	0	2218
"XP_033935781.1"	0	1962
"XP_033935910.1"	97	2649
"XP_033937113.1"	0	2884
"XP_033938116.1"	0	1888
"XP_033938460.1"	93.3	2511
"XP_033939718.1"	0	3330
"XP_033940475.1"	81.3	1415
"XP_033942142.1"	0	3364
"XP_033943084.1"	0	3114
"XP_033943135.1"	0	3364
"XP_033944063.1"	40.9	2139
"XP_033944768.1"	0	2985
"XP_033944789.1"	0	1845
"XP_033945167.1"	0	3111
"XP_033946124.1"	0	2559
"XP_033946763.1"	0	3226
"XP_033947131.1"	0	3097
"XP_033947206.1"	0	3079
"XP_033947472.1"	44.5	2242
"XP_033947944.1"	97.3	2661
"XP_033947967.1"	0	2762
"XP_033948494.1"	0	3212
"XP_033949540.1"	0	2634
"XP_033950149.1"	0	2555
"XP_033950604.1"	0	3576
"XP_033950679.1"	0	3398
"XP_033950782.1"	103.6	2807
"XP_033950997.1"	0	3379
"XP_033951662.1"	0	2744
"XP_033951793.1"	100	2649
"XP_033952332.1"	0	3774
"XP_033952494.1"	0	3197
"XP_033953448.1"	0	3464
"XP_033953546.1"	72.3	2124
"XP_033954003.1"	67.3	1669
"XP_033954393.1"	0	3428
"XP_033955752.1"	74.1	1797
"XP_033955840.1"	0	2320
"XP_033956002.1"	37.5	2040
"XP_033957583.1"	36.6	2019
"XP_033957741.1"	0	3295
"XP_033958374.1"	0	3355
"XP_033958689.1"	0	3283
"XP_033960539.1"	12.4	3163
"XP_033960593.1"	0	1694
"XP_033961294.1"	0	2578
"XP_033964017.1"	286.8	1651
"XP_033964455.1"	0	3176
"XP_033967137.1"	0	3441
"XP_033967407.1"	0	2226
"XP_033968343.1"	0	2285
"XP_033968797.1"	54.2	1491
"XP_033969217.1"	72.2	2125
"XP_033970082.1"	0	3276
"XP_033970285.1"	0	2510
"XP_033970388.1"	0	2177
"XP_033970496.1"	67.5	1639
"XP_033971090.1"	0	3464
"XP_033971559.1"	0	2905
"XP_033971941.1"	0	3012
"XP_033972035.1"	0	3121
"XP_033972814.1"	0	2841
"XP_033972934.1"	0	2905
"XP_033973094.1"	0	1989
"XP_033973248.1"	74.9	1900
"XP_033973316.1"	0	2578
"XP_033973591.1"	44.5	2242
"XP_033973709.1"	0	3037
"XP_033973868.1"	0	3141
"XP_033974288.1"	0	2603
"XP_033974590.1"	0	2905
"XP_033974627.1"	99	2661
"XP_033975549.1"	292.3	1651
"XP_033976754.1"	0	2441
"XP_033977069.1"	0	3212
"XP_033977763.1"	0	3322
"XP_033978762.1"	0	2716
"XP_033979325.1"	0	3197
"XP_033979375.1"	100	2649
"XP_033980129.1"	0	3379
"XP_033980241.1"	0	2576
"XP_033980564.1"	0	3576
"XP_033980608.1"	0	3398
"XP_033981028.1"	99.5	2704
"XP_033981727.1"	0	2461
"XP_033981948.1"	0	3774
"XP_033983086.1"	34	2027
"XP_033983324.1"	0	3295
"XP_033983463.1"	0	3355
"XP_033983796.1"	0	3282
"XP_033985108.1"	0	3356
"XP_033985577.1"	80.1	1555
"XP_033987498.1"	96.1	2172
"XP_033988172.1"	99.6	2435
"XP_033988941.1"	0	3221
"XP_033989220.1"	0	2184
"XP_033989633.1"	97.1	2745
"XP_033990033.1"	0	2372
"XP_033990671.1"	0	2222
"XP_033990754.1"	0	2740
"XP_033992966.1"	10.7	3123
"XP_033993802.1"	0	1797
"XP_033994686.1"	90.1	2439
"XP_033995679.1"	0	2327
"XP_033995922.1"	0	2710
"XP_033995927.1"	0	3321
"XP_033996371.1"	0	2905
"XP_033996833.1"	0	3538
"XP_033997009.1"	0	2129
"XP_033998352.1"	0	2985
"XP_033998774.1"	0	1852
"XP_033999021.1"	0	2905
"XP_033999197.1"	96	2386
"XP_033999385.1"	0	2499
"XP_033999600.1"	0	1911
"XP_033999782.1"	0	3111
"XP_034000435.1"	40.1	2069
"XP_034000948.1"	0	3114
"XP_034001794.1"	101.9	2506
"XP_034003134.1"	0	3176
"XP_034003959.1"	9.8	2886
"XP_034004636.1"	0	2867
"XP_034007990.1"	37.7	1961
"XP_034015654.1"	0	3705
"XP_034016126.1"	0	3576
"XP_034016127.1"	0	3576
"XP_034016282.1"	0	3237
"XP_034016653.1"	0	3616
"XP_034017212.1"	102.6	2671
"XP_034017802.1"	0	2504
"XP_034018448.1"	98.8	2656
"XP_034018843.1"	0	2297
"XP_034019021.1"	92.4	2278
"XP_034021110.1"	65.6	1930
"XP_034023221.1"	0	1940
"XP_034023349.1"	0	2844
"XP_034024020.1"	56.4	1504
"XP_034024388.1"	69.8	2039
"XP_034025175.1"	0	3466
"XP_034025318.1"	0	3159
"XP_034025435.1"	0	2453
"XP_034026250.1"	0	3193
"XP_034026470.1"	0	2628
"XP_034026582.1"	0	3484
"XP_034027083.1"	42.6	2148
"XP_034027154.1"	0	3252
"XP_034027228.1"	94	2679
"XP_034027420.1"	0	3572
"XP_034027605.1"	0	2548
"XP_034027942.1"	0	2660
"XP_034028299.1"	0	3203
"XP_034029000.1"	0	3572
"XP_034029080.1"	46	2098
"XP_034029567.1"	0	3355
"XP_034030288.1"	99	2471
"XP_034030548.1"	0	3245
"XP_034030833.1"	0	3294
"XP_034031316.1"	39.9	1833
"XP_034031661.1"	149.7	1999
"XP_034032871.1"	0	2479
"XP_034033776.1"	0	3223
"XP_034033777.1"	0	1700
"XP_034034097.1"	0	2088
"XP_034034909.1"	72.9	1893
"XP_034036445.1"	59.9	2066
"XP_034036862.1"	0	1597
"XP_034036892.1"	0	2292
"XP_034037131.1"	0	3508
"XP_034037151.1"	0	3271
"XP_034037828.1"	0	2617
"XP_034038552.1"	0	3040
"XP_034038767.1"	0	1743
"XP_034039125.1"	0	2578
"XP_034041425.1"	36.9	2041
"XP_034041593.1"	0	1496
"XP_034043587.1"	0	3037
"XP_034043822.1"	0	2826
"XP_034044019.1"	88.2	1588
"XP_034044934.1"	0	3176
"XP_034045291.1"	0	3104
"XP_034045674.1"	0	1885
"XP_034046456.1"	0	2993
"XP_034047990.1"	0	2816
"XP_034048279.1"	0	2949
"XP_034048603.1"	97.6	2600
"XP_034048683.1"	0	2760
"XP_034048780.1"	0	2726
"XP_034048782.1"	0	2726
"XP_034048836.1"	102.9	2025
"XP_034048988.1"	0	3739
"XP_034050322.1"	284.4	1854
"XP_034051462.1"	0	2032
"XP_034052236.1"	0	2735
"XP_034052472.1"	0	2211
"XP_034053569.1"	0	2523
"XP_034053718.1"	0	2735
"XP_034054496.1"	0	2257
"XP_034055842.1"	0	3364
"XP_034056035.1"	0	2302
"XP_034056095.1"	0	2213
"XP_034056161.1"	0	3244
"XP_034057491.1"	0	2725
"XP_034057729.1"	37.6	1961
"XP_034060931.1"	100	2649
"XP_034061078.1"	0	3176
"XP_034061784.1"	0	2092
"XP_034063944.1"	0	3283
"XP_034064035.1"	0	2705
"XP_034065389.1"	0	3114
"XP_034065414.1"	40	1989
"XP_034066196.1"	0	3347
"XP_034066259.1"	0	3576
"XP_034066370.1"	0	3379
"XP_034068232.1"	0	3318
"XP_034068481.1"	0	2997
"XP_034071016.1"	105	2852
"XP_034071274.1"	0	1641
"XP_034072508.1"	44.5	2242
"XP_034073882.1"	290.9	1651
"XP_034075226.1"	93.1	2518
"XP_034075402.1"	0	3079
"XP_034075639.1"	0	1845
"XP_034075749.1"	0	2985
"XP_034076620.1"	0	1911
"XP_034078904.1"	72.3	2124
"XP_034080143.1"	0	2971
"XP_034080256.1"	0	2841
"XP_034081556.1"	0	3385
"XP_034082727.1"	74.7	1883
"XP_034083897.1"	0	3355
"XP_034084244.1"	0	3295
"XP_034084427.1"	34.1	1903
"XP_034084829.1"	10.4	0
"XP_034084926.1"	0	3321
"XP_034084940.1"	97.1	2745
"XP_034085108.1"	99.5	2435
"XP_034086199.1"	97.7	2661
"XP_034087035.1"	0	3212
"XP_034087568.1"	95.8	2270
"XP_034089697.1"	0	2578
"XP_034090056.1"	0	3197
"XP_034090140.1"	96.5	2222
"XP_034090292.1"	11.4	3147
"XP_034090897.1"	0	2559
"XP_034091086.1"	0	3774
"XP_034091287.1"	0	3538
"XP_034091751.1"	0	2285
"XP_034092204.1"	102.2	2549
"XP_034092631.1"	0	2735
"XP_034093010.1"	83.8	1535
"XP_034093695.1"	0	3202
"XP_034094133.1"	0	2970
"XP_034094744.1"	0	2716
"XP_034097259.1"	0	2735
"XP_034144894.1"	0	3173
"XP_034145173.1"	0	2318
"XP_034145333.1"	0	2318
"XP_034146899.1"	291.8	2820
"XP_034147204.1"	0	2318
"XP_034147833.1"	0	2766
"XP_034147864.1"	0	3336
"XP_034149134.1"	0	1848
"XP_034149810.1"	0	2318
"XP_034150049.1"	81	2153
"XP_034152231.1"	0	3083
"XP_034152782.1"	0	2946
"XP_034153499.1"	0	2578
"XP_034153671.1"	44.3	2130
"XP_034155681.1"	301.9	2400
"XP_034156239.1"	0	3555
"XP_034158088.1"	0	3037
"XP_034159910.2"	0	3019
"XP_034161427.2"	0	2905
"XP_034161527.2"	307.6	2678
"XP_034162479.2"	309.2	2725
"XP_034163124.2"	308.7	2692
"XP_034163210.2"	0	2858
"XP_034164161.1"	0	2149
"XP_034164793.2"	0	2577
"XP_034165594.2"	0	2993
"XP_034166637.2"	45.4	1665
"XP_034167015.2"	0	3551
"XP_034167462.2"	60	2082
"XP_034167641.2"	0	2209
"XP_034168328.2"	12.3	1516
"XP_034168904.2"	88.1	2110
"XP_034169072.2"	0	2423
"XP_034381105.1"	0	3754
"XP_034381787.1"	0	2476
"XP_034382480.1"	89.5	2241
"XP_034383715.1"	0	2416
"XP_034383870.1"	96.7	2335
"XP_034384916.1"	35	1986
"XP_034385305.1"	0	2804
"XP_034385427.1"	0	2915
"XP_034387249.1"	46.7	1868
"XP_034387461.1"	12.1	0
"XP_034388073.1"	0	1896
"XP_034388281.1"	91.2	2540
"XP_034389837.1"	0	3196
"XP_034390768.1"	0	2138
"XP_034391049.1"	147.1	2118
"XP_034393305.1"	0	3203
"XP_034393506.1"	13.3	0
"XP_034394127.1"	32.4	0
"XP_034394145.1"	0	3432
"XP_034394435.1"	0	2749
"XP_034394828.1"	0	2022
"XP_034395004.1"	0	3111
"XP_034396582.1"	96.8	2728
"XP_034396607.1"	97	2615
"XP_034396703.1"	0	3188
"XP_034396865.1"	0	3431
"XP_034397168.1"	44.5	2242
"XP_034397619.1"	0	3513
"XP_034398123.1"	0	2939
"XP_034398169.1"	0	2696
"XP_034399286.1"	0	2958
"XP_034399381.1"	86.5	1607
"XP_034399922.1"	0	2080
"XP_034399981.1"	0	2699
"XP_034400404.1"	0	3341
"XP_034400645.1"	102.9	2644
"XP_034400682.1"	0	3650
"XP_034401107.1"	0	2311
"XP_034401340.1"	0	3308
"XP_034402802.1"	0	3722
"XP_034402913.1"	0	2352
"XP_034403115.1"	0	3210
"XP_034403253.1"	98.3	2725
"XP_034403487.1"	0	2733
"XP_034403581.1"	0	2986
"XP_034403739.1"	73.2	1996
"XP_034404006.1"	0	3428
"XP_034404172.1"	31.8	0
"XP_034405483.1"	0	2171
"XP_034406888.1"	72.4	2049
"XP_034406893.1"	0	3310
"XP_034408599.1"	37.4	2008
"XP_034408871.1"	0	3104
"XP_034409100.1"	98.1	2361
"XP_034409283.1"	0	3286
"XP_034409500.1"	0	3355
"XP_034410796.1"	0	3083
"XP_034412248.1"	10.5	1637
"XP_034413837.1"	139.6	1602
"XP_034415684.1"	0	2909
"XP_034415960.1"	0	2578
"XP_034416414.1"	100.8	2205
"XP_034416525.1"	0	3176
"XP_034419153.1"	0	2156
"XP_034425176.1"	0	1413
"XP_034426787.1"	288.3	1799
"XP_034427594.1"	0	3176
"XP_034428293.1"	0	2883
"XP_034428350.1"	100.7	2345
"XP_034431745.1"	0	1942
"XP_034432962.1"	0	2769
"XP_034433295.1"	0	3932
"XP_034433920.1"	0	2325
"XP_034434619.1"	95	2233
"XP_034435134.1"	96.1	2340
"XP_034435719.1"	0	2456
"XP_034436652.1"	0	2665
"XP_034439697.1"	59.8	2137
"XP_034440214.1"	0	1990
"XP_034441407.1"	92.6	2623
"XP_034442287.1"	0	3202
"XP_034443500.1"	0	2419
"XP_034444517.1"	151.7	1742
"XP_034445423.1"	0	3140
"XP_034446199.1"	48.2	2026
"XP_034447361.1"	0	3435
"XP_034447998.1"	0	3051
"XP_034449332.1"	84.3	0
"XP_034450079.1"	0	2749
"XP_034450088.1"	0	1859
"XP_034451058.1"	0	2944
"XP_034451358.1"	0	3338
"XP_034451628.1"	0	3540
"XP_034451778.1"	0	2583
"XP_034452289.1"	0	3045
"XP_034452437.1"	43.5	2290
"XP_034452683.1"	93.6	2793
"XP_034452872.1"	0	2645
"XP_034454172.1"	0	3161
"XP_034454455.1"	0	3019
"XP_034454701.1"	0	2300
"XP_034455004.1"	0	3576
"XP_034455018.1"	101.8	2264
"XP_034455973.1"	0	3509
"XP_034456052.1"	0	3211
"XP_034456680.1"	0	2032
"XP_034457252.1"	99.1	2757
"XP_034457619.1"	0	2180
"XP_034457911.1"	0	2899
"XP_034458453.1"	0	3811
"XP_034459157.1"	0	2937
"XP_034459337.1"	0	3532
"XP_034460288.1"	0	3282
"XP_034460411.1"	64.9	1574
"XP_034460889.1"	73	2100
"XP_034461503.1"	0	1792
"XP_034462501.1"	0	3409
"XP_034462987.1"	70.7	1848
"XP_034465302.1"	36.5	1993
"XP_034466440.1"	0	3355
"XP_034467679.1"	0	3270
"XP_034467846.1"	101.9	2562
"XP_034467958.1"	40.4	2106
"XP_034468030.1"	0	3185
"XP_034468417.1"	0	3020
"XP_034470675.1"	0	1788
"XP_034471332.1"	0	2578
"XP_034529098.1"	0	2258
"XP_034529708.1"	101.5	2147
"XP_034530161.1"	0	2687
"XP_034530195.1"	0	3767
"XP_034531089.1"	0	2149
"XP_034531269.1"	0	3053
"XP_034534183.1"	43.5	2290
"XP_034534544.1"	0	2578
"XP_034534833.1"	0	3408
"XP_034536700.1"	0	2875
"XP_034536733.1"	0	2567
"XP_034536982.1"	0	1719
"XP_034536983.1"	38.5	2090
"XP_034538601.1"	0	2715
"XP_034540066.1"	0	3276
"XP_034540139.1"	0	1772
"XP_034540373.1"	74.1	1986
"XP_034540546.1"	91.7	2606
"XP_034540573.1"	151.2	2032
"XP_034542283.1"	0	2295
"XP_034542859.1"	0	1562
"XP_034543920.1"	86.1	0
"XP_034544993.1"	0	1862
"XP_034545061.1"	0	2458
"XP_034545479.1"	0	2857
"XP_034545540.1"	0	2125
"XP_034545758.1"	0	2738
"XP_034545785.1"	0	3285
"XP_034546310.1"	0	3053
"XP_034546891.1"	0	3019
"XP_034546919.1"	0	3067
"XP_034547286.1"	0	3035
"XP_034547697.1"	0	2807
"XP_034547753.1"	0	3335
"XP_034547912.1"	0	3421
"XP_034548158.1"	97	2716
"XP_034548826.1"	0	2688
"XP_034549552.1"	0	2223
"XP_034549759.1"	0	2790
"XP_034549891.1"	0	2688
"XP_034551193.1"	0	3166
"XP_034551242.1"	34.3	0
"XP_034551343.1"	0	3461
"XP_034551711.1"	0	2630
"XP_034551746.1"	0	2535
"XP_034552732.1"	16.4	0
"XP_034552966.1"	97.5	2500
"XP_034553065.1"	0	3106
"XP_034553459.1"	0	3355
"XP_034553834.1"	0	3287
"XP_034554105.1"	0	3053
"XP_034554287.1"	38.6	2165
"XP_034555099.1"	0	2423
"XP_034555445.1"	105.3	2490
"XP_034555718.1"	0	2688
"XP_034556781.1"	35.7	0
"XP_034556981.1"	73.6	2165
"XP_034557146.1"	0	3501
"XP_034557373.1"	0	1812
"XP_034557814.1"	59.5	2148
"XP_034558103.1"	0	3053
"XP_034558819.1"	0	1897
"XP_034559000.1"	11.3	0
"XP_034559013.1"	0	3170
"XP_034560247.1"	111.4	2594
"XP_034560327.1"	0	3075
"XP_034560361.1"	0	2289
"XP_034561076.1"	0	3526
"XP_034561494.1"	0	3499
"XP_034561747.1"	0	3176
"XP_034562552.1"	100.2	2633
"XP_034563224.1"	298.3	1540
"XP_034565051.1"	0	2911
"XP_034565069.1"	0	3019
"XP_034565474.1"	0	3719
"XP_034565550.1"	0	2400
"XP_034565782.1"	98.4	2741
"XP_034565801.1"	0	2640
"XP_034567028.1"	0	2948
"XP_034567311.1"	0	1835
"XP_034567429.1"	0	3110
"XP_034713701.1"	0	3769
"XP_034714405.1"	0	2289
"XP_034715279.1"	0	2382
"XP_034717163.1"	288.9	1722
"XP_034718201.1"	97.5	2299
"XP_034718394.1"	0	3460
"XP_034718717.1"	0	3176
"XP_034719767.1"	93.8	2078
"XP_034719856.1"	0	2312
"XP_034721971.1"	0	2475
"XP_034722244.1"	77.4	2021
"XP_034723652.1"	21.8	0
"XP_034724072.1"	0	1940
"XP_034724639.1"	0	3045
"XP_034724721.1"	0	2891
"XP_034725557.1"	96.6	2456
"XP_034727075.1"	97.5	2694
"XP_034727697.1"	0	3465
"XP_034727722.1"	0	3085
"XP_034727963.1"	96.9	2716
"XP_034728060.1"	0	2818
"XP_034728783.1"	44.6	2216
"XP_034728864.1"	0	3339
"XP_034729231.1"	0	3347
"XP_034729512.1"	20.9	0
"XP_034729938.1"	39.9	1914
"XP_034730898.1"	0	3274
"XP_034731240.1"	0	3355
"XP_034731992.1"	47.7	1978
"XP_034732830.1"	0	3203
"XP_034732899.1"	0	2809
"XP_034733467.1"	0	2264
"XP_034734047.1"	0	2258
"XP_034736117.1"	128.3	1865
"XP_034736686.1"	57.3	2018
"XP_034739173.1"	0	2355
"XP_034739954.1"	0	2699
"XP_034740090.1"	0	3082
"XP_034740139.1"	0	2841
"XP_034740220.1"	0	1434
"XP_034744307.1"	0	1585
"XP_034744620.1"	87.1	1619
"XP_034744781.1"	0	3048
"XP_034745639.1"	0	3377
"XP_034746376.1"	0	2048
"XP_034746419.1"	69.7	1853
"XP_034747149.1"	0	3650
"XP_034747199.1"	0	3556
"XP_034747517.1"	0	3295
"XP_034748085.1"	0	2558
"XP_034748456.1"	103	2721
"XP_034749000.1"	0	3087
"XP_034749271.1"	0	2002
"XP_034750945.1"	0	2915
"XP_034751571.1"	97.3	2741
"XP_034751806.1"	0	3083
"XP_034752063.1"	0	2810
"XP_034752123.1"	0	2540
"XP_034752396.1"	0	3633
"XP_034754812.1"	38	2003
"XP_034755883.1"	0	2578
"XP_034756019.1"	99.2	2429
"XP_034997331.1"	0	2899
"XP_034997391.1"	0	2180
"XP_034997909.1"	0	3176
"XP_034998703.1"	100.7	2345
"XP_034999274.1"	96.1	2340
"XP_035000287.1"	0	2456
"XP_035001938.2"	288.5	1799
"XP_035002866.2"	0	2329
"XP_035003765.2"	94.9	2300
"XP_035004679.1"	0	1426
"XP_035008074.1"	92.6	2623
"XP_035008079.2"	0	1990
"XP_035009233.1"	0	3211
"XP_035009430.1"	0	2665
"XP_035009546.2"	0	3532
"XP_035010325.2"	0	2578
"XP_035010723.1"	73	2100
"XP_035011084.2"	64.9	1574
"XP_035011969.1"	0	2419
"XP_035012320.2"	0	1837
"XP_035013545.1"	151.7	1742
"XP_035014205.2"	0	3140
"XP_035015235.1"	0	3435
"XP_035016731.1"	0	2300
"XP_035017288.2"	0	3161
"XP_035017834.1"	0	3019
"XP_035018281.1"	0	2769
"XP_035018446.2"	101.9	2562
"XP_035018738.2"	0	3185
"XP_035019218.2"	0	3270
"XP_035019358.2"	0	3355
"XP_035019938.2"	40.4	2106
"XP_035021157.1"	93.6	2793
"XP_035021867.1"	0	2645
"XP_035021895.2"	0	2944
"XP_035022198.2"	96.9	2694
"XP_035022614.1"	43.5	2290
"XP_035023103.1"	0	3932
"XP_035024945.1"	0	1942
"XP_035026277.1"	0	1788
"XP_035027287.1"	0	3020
"XP_035027613.1"	36.5	1993
"XP_035033199.1"	59.8	2137
"XP_035033579.1"	0	1834
"XP_035035084.2"	0	3409
"XP_035035394.1"	70.7	1848
"XP_035036294.2"	0	1859
"XP_035036298.2"	0	3051
"XP_035037410.1"	0	2749
"XP_035037810.1"	83.2	1564
"XP_035037856.2"	0	3211
"XP_035038326.1"	0	3576
"XP_035039268.2"	0	3509
"XP_035039680.1"	101.8	2264
"XP_035040196.2"	0	3811
"XP_035040925.1"	99.1	2757
"XP_035041001.2"	0	2937
"XP_035234563.1"	0	3467
"XP_035234766.1"	0	3585
"XP_035235157.1"	0	3344
"XP_035235825.1"	102.5	2729
"XP_035236062.1"	98.8	2455
"XP_035236113.1"	0	3012
"XP_035236522.1"	0	3270
"XP_035237245.1"	49.1	2026
"XP_035237915.1"	97.9	2567
"XP_035238784.1"	0	3469
"XP_035240633.1"	0	3321
"XP_035241580.1"	52.5	1688
"XP_035242508.1"	73	1925
"XP_035242849.1"	0	3361
"XP_035243739.1"	0	2148
"XP_035244675.1"	41.1	1854
"XP_035245318.1"	0	3083
"XP_035246061.1"	0	2717
"XP_035246178.1"	41.8	2193
"XP_035246513.1"	0	3325
"XP_035246521.1"	0	1716
"XP_035246895.1"	0	3091
"XP_035247022.1"	0	3516
"XP_035247494.1"	98.9	2592
"XP_035247861.1"	0	3151
"XP_035248377.1"	0	3402
"XP_035250758.1"	36.8	1581
"XP_035250892.1"	98.2	2652
"XP_035251576.1"	162	2386
"XP_035251654.1"	0	2644
"XP_035253644.1"	0	1980
"XP_035253835.1"	0	2928
"XP_035254547.1"	0	2805
"XP_035255852.1"	43.8	1893
"XP_035257475.1"	0	2135
"XP_035260114.1"	310.3	2885
"XP_035263058.1"	0	3236
"XP_035264145.1"	0	3503
"XP_035265910.1"	0	3158
"XP_035269157.1"	0	3176
"XP_035269887.1"	0	3263
"XP_035270562.1"	249.3	2762
"XP_035270994.1"	62.2	2173
"XP_035271962.1"	98.3	2613
"XP_035272039.1"	0	2985
"XP_035272339.1"	0	3673
"XP_035272697.1"	0	1926
"XP_035273219.1"	171.4	2240
"XP_035275230.1"	0	2566
